eval_time,anc_time,anc_state,eval_state,proportion,hpdl,hpdu
2022-08-06,2022-07-23,Mexico,Los Angeles,0.0010986928172315356,0.0,0.016129032258064516
2022-08-06,2022-07-23,Los Angeles,Los Angeles,0.82767486476983,0.74,0.9122807017543859
2022-08-06,2022-07-23,San Diego,Los Angeles,0.04307672955946809,0.0,0.08620689655172414
2022-08-06,2022-07-23,Baja California,Los Angeles,0.0020543258210370605,0.0,0.01818181818181818
2022-08-06,2022-07-23,Rest of World,San Diego,0.07378325838863635,0.0,0.2
2022-08-06,2022-07-23,United States,San Diego,0.24000509217368837,0.0,0.5
2022-08-06,2022-07-23,Mexico,San Diego,0.006444013252709417,0.0,0.07142857142857142
2022-08-06,2022-07-23,Los Angeles,San Diego,0.3745643292203,0.07692307692307693,0.7142857142857143
2022-08-06,2022-07-23,San Diego,San Diego,0.29596187719114525,0.0,0.5
2022-08-06,2022-07-23,Baja California,San Diego,0.00924142977352064,0.0,0.08333333333333333
2022-08-06,2022-07-23,Rest of World,Baja California,0.020211242391693515,0.0,0.0
2022-08-06,2022-07-23,United States,Baja California,0.2668559152984502,0.0,1.0
2022-08-06,2022-07-23,Mexico,Baja California,0.05043220295637051,0.0,0.5
2022-08-06,2022-07-23,Los Angeles,Baja California,0.2917242084803846,0.0,1.0
2022-08-06,2022-07-23,San Diego,Baja California,0.25619405656999644,0.0,1.0
2022-08-06,2022-07-23,Baja California,Baja California,0.1145823743031047,0.0,1.0
2022-07-23,2022-07-09,Rest of World,Rest of World,0.6825949874473082,0.0,1.0
2022-07-23,2022-07-09,United States,Rest of World,0.10641739882246211,0.0,0.4
2022-07-23,2022-07-09,Mexico,Rest of World,0.011890884939408148,0.0,0.09090909090909091
2022-07-23,2022-07-09,Los Angeles,Rest of World,0.1299510830628974,0.0,0.5
2022-07-23,2022-07-09,San Diego,Rest of World,0.039021189390387706,0.0,0.25
2022-07-23,2022-07-09,Baja California,Rest of World,0.030124456337536507,0.0,0.2
2022-07-23,2022-07-09,Rest of World,United States,0.024179527791822683,0.0,0.09523809523809523
2022-07-23,2022-07-09,United States,United States,0.5829577571551561,0.391304347826087,0.75
2022-07-23,2022-07-09,Mexico,United States,0.012103819306087888,0.0,0.05555555555555555
2022-07-23,2022-07-09,Los Angeles,United States,0.2147340744589892,0.07142857142857142,0.375
2022-07-23,2022-07-09,San Diego,United States,0.11967445069902266,0.0,0.23076923076923078
2022-07-23,2022-07-09,Baja California,United States,0.04635037058892166,0.0,0.1111111111111111
2022-07-23,2022-07-09,Rest of World,Mexico,0.03460046346994264,0.0,0.2222222222222222
2022-07-23,2022-07-09,United States,Mexico,0.04342138541005963,0.0,0.2
2022-07-23,2022-07-09,Mexico,Mexico,0.529409345428078,0.25,0.8571428571428571
2022-07-23,2022-07-09,Los Angeles,Mexico,0.15981377240978684,0.0,0.3888888888888889
2022-07-23,2022-07-09,San Diego,Mexico,0.05697737842141574,0.0,0.2222222222222222
2022-07-23,2022-07-09,Baja California,Mexico,0.17577765486071717,0.0,0.36363636363636365
2022-07-23,2022-07-09,Rest of World,Los Angeles,0.03452250233135325,0.0,0.06818181818181818
2022-07-23,2022-07-09,United States,Los Angeles,0.11142928071111075,0.04819277108433735,0.17105263157894737
2022-07-23,2022-07-09,Mexico,Los Angeles,0.019861318032075116,0.0,0.043478260869565216
2022-07-23,2022-07-09,Los Angeles,Los Angeles,0.7082726173811571,0.6206896551724138,0.8
2022-07-23,2022-07-09,San Diego,Los Angeles,0.09614792648755467,0.038461538461538464,0.15384615384615385
2022-07-23,2022-07-09,Baja California,Los Angeles,0.029766355056749155,0.0,0.06153846153846154
2022-07-23,2022-07-09,Rest of World,San Diego,0.08803886766355928,0.0,0.21428571428571427
2022-07-23,2022-07-09,United States,San Diego,0.14898018852436606,0.0,0.2962962962962963
2022-07-23,2022-07-09,Mexico,San Diego,0.07402907062754321,0.0,0.16666666666666666
2022-07-23,2022-07-09,Los Angeles,San Diego,0.2086360134713369,0.045454545454545456,0.3888888888888889
