blA,blB,blBoth,date,siteA,countA,siteB,countB,blA_null,blB_null,blBoth_null,value,value_turn,value_null,value_turn_null,file,connectivity
0.0,0.0004417272732,0.0,2020-07-01,0,0,1,1,0.0,0.0004417272732,0.0,0.0,,0.0,,sim_3,0.5
0.0437155755165651,0.0423595057738492,0.0115657947175558,2020-01-01,0,2746,1,2641,0.0440958290212849,0.0436160302452459,0.0132025726936724,0.2687373521851975,0.2730389438277152,0.3010441872758307,0.3027000077594515,sim_4,0.5
0.1006908421215511,0.1043687062699228,0.0193665133411134,2020-02-01,0,2054,1,2156,0.1006563260448754,0.1063602000575818,0.0213234910520966,0.1888867257635946,0.1923363925960094,0.2060076212615334,0.2118445197631202,sim_4,0.5
0.0372535799661931,0.0385677246918598,0.0029878502366601,2020-03-01,0,286,1,300,0.0374336684422724,0.0384172064783388,0.0030174204992182,0.0788129471033254,0.0802030365771971,0.0795619167841224,0.0806071278819902,sim_4,0.5
0.0086232978495357,0.008814547128035,0.0004740704950863,2020-04-01,0,41,1,42,0.008628412537754,0.0088941320716157,0.0005587701268853,0.0543726011667246,0.0549755445489845,0.0637772811360436,0.0647593197984445,sim_4,0.5
0.002416162153502,0.0018503031808304,5.051366257348122e-05,2020-05-01,0,8,1,6,0.0024070679366376,0.0018588025505213,4.991881539997883e-05,0.0236793966973058,0.027300208472219,0.0234038119770598,0.0268553620103317,sim_4,0.5
0.0003983816249999,0.0004184911521,1.2412414909452763e-06,2020-06-01,0,1,1,1,0.0003983816249999,0.0004184911521,1.2412414909452763e-06,0.0030390080946309,0.0031157096940534,0.0030390080946309,0.0031157096940534,sim_4,0.5
0.0202186780815002,0.0180753676132311,0.0056567016294322,2020-01-01,0,1635,1,1412,0.0203494179882369,0.0187499059315602,0.006461979854498,0.2954350488076288,0.3129508483850458,0.3305417693540275,0.3446406546296893,sim_5,0.5
0.1065172953689839,0.1142959837768462,0.0254764215204876,2020-02-01,0,3062,1,3249,0.1076145836087257,0.1149119924979058,0.027189718481289,0.2307508100874898,0.239176383818566,0.2443727752163866,0.2526583067974104,sim_5,0.5
0.0486432667184728,0.053111961146639,0.0048598786057435,2020-03-01,0,422,1,481,0.0483988395683786,0.0535487864426404,0.0050522767516507,0.0955209615801929,0.0999085574139282,0.0991151427323021,0.1043883860998944,sim_5,0.5
0.011592572280758,0.0116807848817641,0.0005075267446284,2020-04-01,0,57,1,59,0.0112452394608752,0.0121953154958733,0.0006747245388547,0.043614399167622,0.0437803390254343,0.0575689901625382,0.0600009044896079,sim_5,0.5
0.0018995544940902,0.001788939525643,5.163537783533326e-05,2020-05-01,0,7,1,6,0.0018956854688149,0.0017859246851738,4.475151209078668e-05,0.0279980813627924,0.0288636799037525,0.0243108369539353,0.0250578943570795,sim_5,0.5
0.0003735260664,0.000399418065,1.7156090240632224e-05,2020-06-01,0,1,1,1,0.0003735260664,0.000399418065,1.7156090240632224e-05,0.0443915401998282,0.045930101762323,0.0443915401998282,0.045930101762323,sim_5,0.5
0.0,0.0004508185794,0.0,2020-07-01,0,0,1,1,0.0,0.0004508185794,0.0,0.0,,0.0,,sim_5,0.5
0.0063152407729678,0.0070519070640584,0.0021843455415011,2020-01-01,0,588,1,688,0.0067123537575833,0.0070095415158867,0.0025390929779449,0.3268229794617238,0.3458847603801818,0.370079049189952,0.3782716271585634,sim_6,0.5
0.107611905560031,0.1058952587440499,0.0258384645458748,2020-02-01,0,3870,1,3829,0.1101374185812385,0.1062449640786753,0.0287136829017079,0.2420383843333259,0.2440002022028835,0.2653976035270576,0.270259236761991,sim_6,0.5
